"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"281";"USDJPY_M1";"Buy";"2015.06.10 13:00:00";"122.728";"0.10000";"2015.06.14 21:00:00";"123.188";"46.00";"11430.20";"IST";"End Of Friday";"-18.60";"140.50";"4d 8h 0m";""
"282";"USDJPY_M1";"Buy";"2015.06.15 02:00:00";"123.507";"0.10000";"2015.06.18 02:00:00";"123.157";"-35.00";"11395.20";"IST";"SL";"-35.00";"93.10";"3d 0h 0m";""
"283";"USDJPY_M1";"Sell";"2015.06.18 03:00:00";"123.074";"0.10000";"2015.06.21 21:00:00";"122.967";"10.70";"11405.90";"IST";"End Of Friday";"-16.30";"57.60";"3d 18h 0m";""
"284";"USDJPY_M1";"Buy";"2015.06.21 22:00:00";"122.950";"0.10000";"2015.06.22 01:00:00";"122.600";"-35.00";"11370.90";"IST";"SL";"-35.00";"0.00";"3h 0m";""
"285";"USDJPY_M1";"Buy";"2015.06.22 02:00:00";"122.751";"0.10000";"2015.06.28 21:00:00";"122.680";"-7.10";"11363.80";"IST";"End Of Friday";"-9.50";"162.40";"6d 19h 0m";""
"286";"USDJPY_M1";"Sell";"2015.06.28 21:00:00";"122.680";"0.10000";"2015.06.29 00:00:00";"123.030";"-35.00";"11328.80";"IST";"SL";"-35.00";"55.30";"3h 0m";""
"287";"USDJPY_M1";"Sell";"2015.06.29 01:00:00";"122.954";"0.10000";"2015.07.01 23:00:00";"123.304";"-35.00";"11293.80";"IST";"SL";"-35.00";"99.20";"2d 22h 0m";""
"288";"USDJPY_M1";"Sell";"2015.07.02 00:00:00";"123.329";"0.10000";"2015.07.02 12:00:00";"123.679";"-35.00";"11258.80";"IST";"SL";"-35.00";"1.40";"12h 0m";""
"289";"USDJPY_M1";"Sell";"2015.07.02 14:00:00";"123.068";"0.10000";"2015.07.05 21:00:00";"121.889";"117.90";"11376.70";"IST";"End Of Friday";"-13.50";"117.90";"3d 7h 0m";""
"290";"USDJPY_M1";"Buy";"2015.07.05 23:00:00";"122.390";"0.10000";"2015.07.07 15:00:00";"122.040";"-35.00";"11341.70";"IST";"SL";"-35.00";"53.80";"1d 16h 0m";""
"291";"USDJPY_M1";"Buy";"2015.07.07 20:00:00";"122.626";"0.10000";"2015.07.08 01:00:00";"122.276";"-35.00";"11306.70";"IST";"SL";"-35.00";"2.40";"5h 0m";""
"292";"USDJPY_M1";"Sell";"2015.07.08 03:00:00";"122.210";"0.10000";"2015.07.10 13:00:00";"122.560";"-35.00";"11271.70";"IST";"SL";"-35.00";"177.60";"2d 10h 0m";""
"293";"USDJPY_M1";"Sell";"2015.07.10 20:00:00";"122.830";"0.10000";"2015.07.12 21:00:00";"122.183";"64.70";"11336.40";"IST";"End Of Friday";"-2.00";"64.70";"2d 1h 0m";""
"294";"USDJPY_M1";"Sell";"2015.07.12 21:00:00";"122.163";"0.10000";"2015.07.12 21:00:00";"122.513";"-35.00";"11301.40";"IST";"SL";"-35.00";"0.00";"0s";""
"295";"USDJPY_M1";"Sell";"2015.07.12 22:00:00";"122.536";"0.10000";"2015.07.13 06:00:00";"122.886";"-35.00";"11266.40";"IST";"SL";"-35.00";"10.30";"8h 0m";""
"296";"USDJPY_M1";"Sell";"2015.07.13 07:00:00";"123.008";"0.10000";"2015.07.13 07:00:00";"123.358";"-35.00";"11231.40";"IST";"SL";"-35.00";"11.80";"0s";""
"297";"USDJPY_M1";"Sell";"2015.07.13 15:00:00";"123.456";"0.10000";"2015.07.15 12:00:00";"123.806";"-35.00";"11196.40";"IST";"SL";"-35.00";"51.50";"1d 21h 0m";""
"298";"USDJPY_M1";"Buy";"2015.07.15 15:00:00";"123.940";"0.10000";"2015.07.19 21:00:00";"124.014";"7.40";"11203.80";"IST";"End Of Friday";"-28.60";"29.00";"4d 6h 0m";""
"299";"USDJPY_M1";"Buy";"2015.07.20 00:00:00";"124.163";"0.10000";"2015.07.21 15:00:00";"123.813";"-35.00";"11168.80";"IST";"SL";"-35.00";"31.40";"1d 15h 0m";""
"300";"USDJPY_M1";"Sell";"2015.07.21 16:00:00";"123.935";"0.10000";"2015.07.26 21:00:00";"123.738";"19.70";"11188.50";"IST";"End Of Friday";"-27.10";"34.30";"5d 5h 0m";""
"301";"USDJPY_M1";"Buy";"2015.07.27 11:00:00";"123.337";"0.10000";"2015.08.02 21:00:00";"123.882";"54.50";"11243.00";"IST";"End Of Friday";"-32.80";"124.50";"6d 10h 0m";""
