,Entry Date,Entry Type,EWA Entry,EWA Qty,EWC Entry,EWC Qty,Exit Date,EWA Exit,EWC Exit,EWA_profit
52,2016-11-17,short-spread,-0.018317710255475596,15246.184162324425,-0.1623193702223993,-13261.087807755313,2017-01-10,0.22379212448739044,0.045536012566061164,-3691.2511279996684
53,2017-02-22,long-spread,0.406614012057274,-62723.707100894026,0.16986310947847413,-15828.751478348475,2017-06-09,0.28053015538049914,0.015115402398041848,7908.446896345129
54,2017-06-15,long-spread,0.35775633679685337,-62723.707100894026,-0.010014718055279603,-15828.751478348475,2017-06-23,0.32011201870742995,0.023653292174598647,2361.1911818538792
55,2017-07-11,short-spread,0.3555329776629921,25317.235944060252,0.09298943324523001,-256553.69998338548,2017-08-18,0.5213702267477598,0.14499256912797664,-4198.5407633929535
56,2017-09-15,short-spread,0.5680619908563375,25317.235944060252,0.32100112272541903,-256553.69998338548,2017-12-15,0.6067037036973996,0.37567039936948343,-978.3013612797931
57,2018-01-12,long-spread,0.7857173197217083,20100.962491451493,0.5750814824864869,8004.0622585926585,2018-01-16,0.7510737419696294,0.5912864031685618,-696.3692569642208
58,2018-01-22,long-spread,0.7890167080790492,20100.962491451493,0.5953375597619539,8004.0622585926585,2018-05-08,0.5943584990508909,0.338748514290601,-3912.817358328135
59,2018-05-09,short-spread,0.610854625972602,13589.349128186082,0.379262140384068,4315.7246325928745,2018-06-04,0.6520961655743696,0.3144395145707023,-560.4456802323311
60,2018-06-12,short-spread,0.6273511603268097,13589.349128186082,0.4265292637785571,4315.7246325928745,2018-06-21,0.6429183411563082,0.35241678995426357,-211.5478552336608
61,2018-07-11,short-spread,0.6614161839337388,13589.349128186082,0.4177470979415197,4315.7246325928745,2018-07-20,0.7219569860337184,0.44224563233967085,-822.7100962370441
62,2018-07-24,long-spread,0.7270030375039168,10295.191319981848,0.43680180789303275,6150.40292088893,2018-07-30,0.7185936307744137,0.4653841671288089,-86.57645116777712
63,2018-08-02,short-spread,0.6916867886999769,9366.406747225534,0.4830774059287759,5882.102420239041,2018-08-07,0.7118673276883012,0.43680180789303275,-189.0191365428882
64,2018-08-08,long-spread,0.7320470518116322,9719.471029941029,0.45313416415846686,5318.636185090411,2018-08-22,0.7068224985155925,0.46810593219787466,-245.169315004061
65,2018-08-24,short-spread,0.6681437093173411,9183.60327785633,0.4544950466929997,5670.093262872748,2018-10-30,0.3166732884362572,0.09245614623126515,3227.7649092730658
66,2018-11-09,long-spread,0.4461630770682297,9695.010667954492,0.1537035123064161,5653.115452120437,2019-02-14,0.5052191951506557,0.2520358103731076,572.5496948171003
67,2019-02-28,short-spread,0.5977903029696217,14518.593587177782,0.36274113236590133,16716.032918300105,2019-03-05,0.6170023749135647,0.3322966832088472,-278.93226452172894
68,2019-03-06,long-spread,0.6204948862742866,11793.784625398453,0.3115396928551416,7083.048328747841,2019-03-12,0.6030294774432011,0.3419835533951826,-205.98327014835468
69,2019-04-05,short-spread,0.6414552510610735,11362.23720828361,0.40425540738181903,8247.144843167913,2019-05-10,0.6728939647950192,0.38073073983201766,-357.2141229684148
70,2019-05-16,short-spread,0.6519340074407289,11362.23720828361,0.40425540738181903,8247.144843167913,2019-05-22,0.7340251365825498,0.3862657999157027,-932.738882005211
71,2019-05-23,long-spread,0.7095718530025443,10498.34298581103,0.33091343322781247,6355.667541994514,2019-08-08,0.7322442491399791,0.4481270935356278,238.02259096096805
72,2019-08-28,short-spread,0.6698691859403763,9645.572587562194,0.399252751386579,7764.305444812786,2019-10-30,0.9300637269091362,0.5347058870826167,-2509.7253318016
73,2019-11-13,short-spread,0.9122418146435393,9645.572587562194,0.6352481477253912,7764.305444812786,2020-10-26,0.6776389236502417,0.4530079058091341,2262.8792143277924
74,2020-12-14,long-spread,1.2776052762256562,7763.565856664251,0.96505879517155,4044.5816025945733,2021-03-08,1.521447106511503,1.315305636699217,1893.0821080337191
75,2021-03-09,short-spread,1.5717047198301877,5543.378332085976,1.357277267134396,2662.338278483512,2022-01-05,1.7587541269846314,2.0716378840953493,-1036.8856306494708
76,2022-01-10,short-spread,1.6590089477658065,5543.378332085976,2.1380020978663024,2662.338278483512,2022-03-16,1.7939591467170037,2.238287721491319,-748.0800087767584
77,2022-03-31,long-spread,2.0501673681391814,5410.056121342113,2.438855437039273,1201.735477217977,2022-06-07,1.7470192562180062,2.183721158516059,-1640.0482985724575
78,2022-07-15,long-spread,1.1310143234145447,5410.056121342113,1.3204245445545653,1201.735477217977,2022-08-17,1.481987269217299,1.8388728179250133,1898.7833338656656
79,2022-08-26,long-spread,1.4073554142229463,5410.056121342113,1.7022047767137178,1201.735477217977,2022-09-14,1.2338857321796621,1.6249570343685813,-938.48071520554
80,2022-11-16,long-spread,1.4638332994669858,5410.056121342113,1.657638228175819,1201.735477217977,2023-03-27,1.431103432151364,1.4813450782524915,-177.07041902159472
81,2023-04-19,short-spread,1.7064931680802409,5667.02905059614,1.8476143691881395,1549.9841447309334,2023-06-21,1.740268914614595,1.7387402347234304,-191.40813681575673
82,2023-06-27,short-spread,1.5623125859189229,5667.02905059614,1.7554881546001881,1549.9841447309334,2023-10-31,1.2231482561646756,1.3413572370867128,1922.0541096432871
83,2023-12-05,short-spread,1.5581254021515245,5667.02905059614,1.857498426073899,1549.9841447309334,2023-12-08,1.658618220001582,1.8468409264327865,-569.4957181325426
